项目编码,项目名称,专业,分包类型,产值
U_ORG_XM_BJYDHHHLJZL,北京永定河混合垃圾治理,机电,指定,0
U_ORG_XM_BJYYYH,北京远洋瀛海,机电,指定,4258074.37
U_ORG_XM_BJZ12TKJD,北京Z12泰康大厦机电工程,机电,指定,5463215.93
U_ORG_XM_BJZCCF,北京中钞厂房,机电,指定,37280346.06
U_ORG_XM_BJZGYD,北京中国移动博瑞琪大厦装修改造,机电,指定,0
U_ORG_XM_BJZSJD,北京招商嘉铭酒店,机电,指定,0
U_ORG_XM_BJZSJM,北京嘉铭珑原07-01办公商业,机电,指定,0
U_ORG_XM_BJZXZS,北京中芯北方BO2剩余楼层装修,机电,指定,0
U_ORG_XM_BJZYLHC,北京张仪-莲花池π入岳各庄220千伏线路,机电,指定,0
U_ORG_XM_BQDLZCJD,北汽动力总成基地项目（一期）二标段,机电,指定,274032.2
U_ORG_XM_BQSTLGZF,北京顺义新城第4街区保障性住房,机电,指定,12024057.13
U_ORG_XM_BZDERMYY,山东滨州第二人民医院西院区,机电,指定,0
U_ORG_XM_BZGZSYXX,巴中光正实验学校,机电,指定,0
U_ORG_XM_BZSYLXQ,霸州市云庐小区住宅,机电,指定,0
U_ORG_XM_CDCHQSPZZ,成都成华区跳蹬河南路9号新建商品住宅项目一期,机电,指定,0
U_ORG_XM_CDCHQSPZZSQ,成都成华区跳蹬河南路9号新建商品住宅项目三期,机电,指定,0
U_ORG_XM_CDDJBX,成都大家保险金融广场机电,机电,指定,14197084.07
U_ORG_XM_CDDTAZF,成都青白江区大同集中安置房(二期),机电,指定,0
U_ORG_XM_CDDYHQJBZ,成都大运会安居保障EPC,机电,指定,0
U_ORG_XM_CDGJTLGZLZX,成都国际铁路港展览中心,机电,指定,0
U_ORG_XM_CDHJSSJ,成都黄甲尚善居C区,机电,指定,0
U_ORG_XM_CDJDF6DX,成都京东方第6代生产线,机电,指定,0
U_ORG_XM_CDJDFCK,成都京东方第6代柔性AMOLED触控一体化显示器件,机电,指定,3006074.84
U_ORG_XM_CDJDFCKFZ,成都京东方第6代柔性AMOLED触控一体化显示器件（发展）,机电,指定,0
U_ORG_XM_CDJDFGYZX,成都京东方AMOLED工艺技术测试中心,机电,指定,1755063.27
U_ORG_XM_CDJDFJD,成都京东方第6代生产线机电A标段,机电,指定,0
U_ORG_XM_CDJNRCGY,成都金牛人才公寓,机电,指定,0
U_ORG_XM_CDJTWFPPP,成都金堂县五凤镇新型城镇化PPP项目,机电,指定,0
U_ORG_XM_CDJTWFPPPJT,成都金堂县五凤镇新型城镇化PPP（集团）,机电,指定,0
U_ORG_XM_CDJXJC,成都锦绣江城EPC,机电,指定,0
U_ORG_XM_CDLTGC,成都乐天广场,机电,指定,7903398.12
U_ORG_XM_CDPJSQZHT,成都蒲江鹤山街道办社区综合体,机电,指定,0
U_ORG_XM_CDQBJPPPFJ,成都青白江区PPP·房建,机电,指定,0
U_ORG_XM_CDQBJPPPSZ,成都青白江区PPP·市政,机电,指定,0
U_ORG_XM_CDQBJPPPSZFZ,成都青白江区PPP·市政（发展）,机电,指定,0
U_ORG_XM_CDQXYG,成都千行云谷,机电,指定,0
U_ORG_XM_CDSJZAZF,成都青白江区大同集中安置房,机电,指定,0
U_ORG_XM_CDSLZHKF,成都双流TOD综合开发,机电,指定,0
U_ORG_XM_CDTDJD,成都泰达时代中心机电,机电,指定,0
U_ORG_XM_CDTFC,成都江宇天府城,机电,指定,0
U_ORG_XM_CDTHTFLZX,成都泰和泰国际法律服务中心,机电,指定,0
U_ORG_XM_CDWJQBLT,成都温江区BLT,机电,指定,0
U_ORG_XM_CDWJQBLTFZ,成都温江区BLT（发展）,机电,指定,0
U_ORG_XM_CDWJRX,成都温江区蓉西新城新居B区,机电,指定,0
U_ORG_XM_CDXDAZF,成都新都区成青苑及桂荷馨苑小区,机电,指定,0
U_ORG_XM_CDXJYBF,成都新津御宾府,机电,指定,0
U_ORG_XM_CDXXLJEQ,成都香榭林居二期,机电,指定,0
U_ORG_XM_CDYSDC,成都528艺术东村产业展示,机电,指定,0
U_ORG_XM_CDYSW,成都奕斯伟板级封装系统集成电路,机电,指定,0
U_ORG_XM_CDZG,成都紫光存储器制造基地,机电,指定,0
U_ORG_XM_CDZGSF,成都中国商飞民机示范产业园二期,机电,指定,5516547.73
U_ORG_XM_CDZHYHSY,成都中海·御湖世家,机电,指定,0
U_ORG_XM_CDZLLYJY,成都中粮·珑悦锦云,机电,指定,0
U_ORG_XM_CDZYFSYY,成都中医大附属第二医院,机电,指定,0
U_ORG_XM_CDZYFSYYFZ,成都中医大附属第二医院(发展),机电,指定,0
U_ORG_XM_CHOFG,巢湖欧菲光光学光电产业基地建设,机电,指定,0
U_ORG_XM_CPXQGZ,北京大学昌平新校区宿舍楼装修改造,机电,指定,0
U_ORG_XM_CQHFBJSJ,重庆华发·滨江四季,机电,指定,0
U_ORG_XM_CQHXZZ,重庆华熙LIVE·鱼洞住宅,机电,指定,0
U_ORG_XM_CQJDF6AMOLED,重庆京东方第6代AMOLED柔性生产线,机电,指定,169938881.3
U_ORG_XM_CQLJKGWLY,重庆两江空港物流园,机电,指定,0
