项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_MYJDF,绵阳京东方第6代AMOLED柔性生产线,3180021914.6578093,3509068927.0397773,86575229.30091797,95242807.29063553,3168426880.6194673,86462084.32999998
U_ORG_XM_MYWSCLC,绵阳永兴污水处理厂扩建,163174835.5617146,181124067.47126392,2158093.8699030345,2395484.195540658,158881951.601,2098707.4599999995
U_ORG_XM_MYZXXZ,绵阳市中心血站迁建,900781.9529931471,981852.3286852579,900781.9529931471,981852.3286852579,891194.93,891194.93
U_ORG_XM_MYZZ,北京密云项目住宅,317269447.1675471,320247372.26017654,-612833.8384321354,-620129.0132923257,313455075.65,-604024
U_ORG_XM_NCGXWDZ,南昌高新微电子科技园,164231652.1388483,179012500.83183935,8388122.24152288,9143053.243198985,153822363.27569202,7860364.555692
U_ORG_XM_NCJKQJD,南昌经开区LED电子信息孵化示范基地机电,119910910.3337039,131042571.10336843,4136516.657047883,4514852.7510215845,119023467.28000003,4103459.3399999994
U_ORG_XM_NCSSMZXJD,南昌市市民中心建设工程机电,195428307.80971017,213016855.5077663,112785296.61442287,122935973.30662096,189061910.34999996,109928590.67999999
U_ORG_XM_NJHSXFDJC,南京华夏幸福大校场项目G地块,113199929.00803965,123387922.61882845,87851460.61873406,95758092.07447073,112801322.48532699,87542112.67532699
U_ORG_XM_NJHXC,南京海峡城E地块住宅,387119557.05995953,387203119.90587765,0,0,376704562.7499999,0
U_ORG_XM_NJKGZNGGW,南京空港智能骨干网,482847310.0383763,531113173.1294221,5833695.165096372,6417064.681782378,465146158.0251277,5590673.948275863
U_ORG_XM_NJTJD,南京台积电12吋晶圆厂与设计服务中心一期,1126907785.0247788,1250182671.6373532,0,0,1067399338.7199994,0
U_ORG_XM_NJTS,南京腾讯华东云计算基地,171851325.09045482,187317944.3490488,42699689.48083338,46542661.534289144,170275967.04999998,42377482.510000005
U_ORG_XM_NJYZJG29DK,南京燕子矶G29B地块,512628107.47021693,558912776.0766943,146191266.23703635,159535991.47212836,485180731.1887836,141142452.5493233
U_ORG_XM_NJZGJCDLJD,南京紫光集成电路基地,19609550.626591854,21470568.66103671,36719.39605850412,40204.200967094526,18869685.888761062,35333.97999999998
U_ORG_XM_NTALYJS,南通阿里云计算数据中心,548503604.381183,601369420.2850711,60112869.66043648,65812417.76669814,536800829.49536526,59167859.66590001
U_ORG_XM_NTJH,南通江海阿里云计算数据中心,148774968.76828715,162164715.95824003,148774968.76828715,162164715.95824003,147284566.47403672,147284566.47403672
U_ORG_XM_NTJSY,南通金属园阿里云计算数据中心,116764361.88246296,127273154.4525936,116764361.88246296,127273154.4525936,114995656.99999999,114995656.99999999
U_ORG_XM_NTRCGSD1,通锡高速公路海门至通州段TXGS-LJ3项目部第1分部,28250900.124364227,30793481.13569732,28250900.124364227,30793481.13569732,27940140.219883256,27940140.219883256
U_ORG_XM_NTRCGSD2,通锡高速公路海门至通州段TXGS-LJ3项目部第2分部,30198585.434755355,32916458.123607084,30198585.434755355,32916458.123607084,29896599.58,29896599.58
U_ORG_XM_NTRCGSD3,通锡高速公路海门至通州段TXGS-LJ3项目部第3分部,17837783.80803453,19443184.35080345,17837783.80803453,19443184.35080345,17659405.97,17659405.97
U_ORG_XM_NTRCGSZHB,通锡高速公路海门至通州段TXGS-LJ3,21477442.83060791,23410412.68493388,21477442.83060791,23410412.68493388,21241190.96,21241190.96
U_ORG_XM_PAGJJRZX,深圳平安国际金融中心（局集团）,2310409666.677062,2325701553.8706303,48969880.04947295,49215573.81492006,2308904302.24,48971919.28999999
U_ORG_XM_PAJRZXNT,深圳平安金融中心南塔,1449334316.1543155,1490116349.948271,-1407021.7410533929,-1443412.0685987815,1444358980.0333784,-1394335.5100000037
U_ORG_XM_PJZW,盘锦忠旺铝业一期一标段A区,441147628.9597217,454538997.2837699,1571100.026583691,1618901.6671384783,427498357.19,1501075.2799999986
U_ORG_XM_QBJZHDD,成都青白江区智慧大道,126830159.14994688,139923895.72111517,58879.164531781884,64953.18350980324,123191268.28999998,57073.38000000075
